"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","checkSpecial","post","0","0","1","0","0"
"","搜索APP1","GET","0","0","7","0","0"
"","getIntegral","post","0","0","6","0","0"
"","getConfigDataByCampId","post","0","0","1","0","0"
"","搜索APP0","GET","0","0","1","0","0"
"","todayCourseRemind","post","0","0","1","0","0"
"","getReportMsgNums","post","0","0","2","0","0"
"","","","5","1","0","0","0"
"","listTeacher","post","0","0","1","0","0"
"","getCourseCatalogList","post","0","0","1","0","0"
"","getSystemMsgNum","post","0","0","1","0","0"
"","versionUpdate","post","0","0","2","0","0"
"","getUnSubscribe","post","0","0","1","0","0"
"","listBanner","post","0","0","1","0","0"
"","getUserCourseList","post","0","0","1","0","0"
"","getDetailInfo","post","0","0","2","0","0"
"","subjectTopiclist","post","0","0","3","0","0"
"","phoneLogin","post","0","0","1","0","0"
"","getUserStatus","post","0","0","1","0","0"
"","getEvaluationStatus","post","0","0","1","0","0"
"","getAdvertising","post","0","0","1","0","0"
"","getEvaluationIndexStatus","post","0","0","1","0","0"
