"Status","Name","Duration in ms","Description"
"passed","scripts.test_case.Test_case#test_case","530","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/common/subjectTopiclist<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"broken","scripts.test_case.Test_case#test_case","79",""
"passed","scripts.test_case.Test_case#test_case","269","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm?kw=虎扑<br /><font color=""red"">期望值：</font>{""success"":true}"
"passed","scripts.test_case.Test_case#test_case","331","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm<br /><font color=""red"">期望值：</font>{""success"":true}"
"failed","scripts.test_case.Test_case#test_case","514",""
"passed","scripts.test_case.Test_case#test_case","515","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/clockin/getClockInActivity<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","scripts.test_case.Test_case#test_case","541","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/common/subjectTopiclist<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","scripts.test_case.Test_case#test_case","502","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/common/versionUpdate<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","scripts.test_case.Test_case#test_case","512","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/user/getUserStatus<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","scripts.test_case.Test_case#test_case","493","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/integral/getIntegral<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","scripts.test_case.Test_case#test_case","581","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/user/phoneLogin<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","scripts.test_case.Test_case#test_case","511","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/common/getUnSubscribe<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","scripts.test_case.Test_case#test_case","301","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm?kw=支付宝<br /><font color=""red"">期望值：</font>{""success"":true}"
"passed","scripts.test_case.Test_case#test_case","554","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/common//subjectTopiclist<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"failed","scripts.test_case.Test_case#test_case","508",""
"passed","scripts.test_case.Test_case#test_case","530","<font color=""red"">请求URL：</font>https://app.nicebooker.com/parental/app/v1/userbaby/getDetailInfo<br /><font color=""red"">期望值：</font>{""state"":{""code"":0,""msg"":""操作成功""}}"
"passed","scripts.test_case.Test_case#test_case","820","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm<br /><font color=""red"">期望值：</font>{""success"":true}"
"passed","scripts.test_case.Test_case#test_case","296","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm?kw=唯品会<br /><font color=""red"">期望值：</font>{""success"":true}"
