"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 13 18:58:56 CST 2021","Wed Jan 13 18:58:57 CST 2021","395","scripts","test_case","Test_case","","","搜索APP","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm?kw=虎扑<br /><font color=""red"">期望值：</font>{""success"":true}"
"passed","Wed Jan 13 18:58:52 CST 2021","Wed Jan 13 18:58:52 CST 2021","449","scripts","test_case","Test_case","","","搜索APP","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm?kw=微信<br /><font color=""red"">期望值：</font>{""success"":true}"
"passed","Wed Jan 13 18:58:56 CST 2021","Wed Jan 13 18:58:56 CST 2021","384","scripts","test_case","Test_case","","","搜索APP","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm?kw=虎扑<br /><font color=""red"">期望值：</font>{""success"":true}"
"passed","Wed Jan 13 18:58:54 CST 2021","Wed Jan 13 18:58:54 CST 2021","341","scripts","test_case","Test_case","","","搜索APP","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm?kw=美团<br /><font color=""red"">期望值：</font>{""success"":true}"
"passed","Wed Jan 13 18:58:54 CST 2021","Wed Jan 13 18:58:55 CST 2021","426","scripts","test_case","Test_case","","","搜索APP","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm?kw=支付宝<br /><font color=""red"">期望值：</font>{""success"":true}"
"passed","Wed Jan 13 18:58:55 CST 2021","Wed Jan 13 18:58:56 CST 2021","311","scripts","test_case","Test_case","","","搜索APP","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm?kw=虎扑<br /><font color=""red"">期望值：</font>{""success"":true}"
"failed","Wed Jan 13 18:58:57 CST 2021","Wed Jan 13 18:58:58 CST 2021","607","scripts","test_case","Test_case","","","搜索APP","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm?kw=虎扑<br /><font color=""red"">期望值：</font>{""success"":123}"
"passed","Wed Jan 13 18:58:53 CST 2021","Wed Jan 13 18:58:54 CST 2021","351","scripts","test_case","Test_case","","","搜索APP","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm?kw=唯品会<br /><font color=""red"">期望值：</font>{""success"":true}"
"passed","Wed Jan 13 18:58:57 CST 2021","Wed Jan 13 18:58:57 CST 2021","379","scripts","test_case","Test_case","","","搜索APP","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm?kw=虎扑<br /><font color=""red"">期望值：</font>{""success"":true}"
"passed","Wed Jan 13 18:58:58 CST 2021","Wed Jan 13 18:58:58 CST 2021","272","scripts","test_case","Test_case","","","搜索APP","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm?kw=虎扑<br /><font color=""red"">期望值：</font>{""success"":true}"
"passed","Wed Jan 13 18:58:55 CST 2021","Wed Jan 13 18:58:55 CST 2021","463","scripts","test_case","Test_case","","","搜索APP","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm?kw=虎扑<br /><font color=""red"">期望值：</font>{""success"":true}"
"failed","Wed Jan 13 18:58:52 CST 2021","Wed Jan 13 18:58:53 CST 2021","591","scripts","test_case","Test_case","","","搜索APP","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm?kw=王者荣耀<br /><font color=""red"">期望值：</font>{""success"":tr}"
"passed","Wed Jan 13 18:58:58 CST 2021","Wed Jan 13 18:58:58 CST 2021","278","scripts","test_case","Test_case","","","搜索APP","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm?kw=虎扑<br /><font color=""red"">期望值：</font>{""success"":true}"
"passed","Wed Jan 13 18:58:55 CST 2021","Wed Jan 13 18:58:55 CST 2021","391","scripts","test_case","Test_case","","","搜索APP","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm?kw=爱奇艺<br /><font color=""red"">期望值：</font>{""success"":true}"
"passed","Wed Jan 13 18:58:53 CST 2021","Wed Jan 13 18:58:53 CST 2021","350","scripts","test_case","Test_case","","","搜索APP","<font color=""red"">请求URL：</font>https://sj.qq.com/myapp/searchAjax.htm?kw=QQ<br /><font color=""red"">期望值：</font>{""success"":true}"
